Date,Open,High,Low,Close,Adj Close,Volume
2015-11-23,129.149994,132.699997,128.574997,132.175003,132.175003,15104
2015-11-24,131.024994,132.199997,129.500000,130.250000,130.250000,14715
2015-11-25,130.649994,131.149994,130.000000,130.949997,130.949997,7491
2015-11-27,131.250000,132.350006,130.949997,131.824997,131.824997,5074
2015-11-29,null,null,null,null,null,null
2015-11-30,131.024994,131.875000,129.399994,130.050003,130.050003,12611
2015-12-01,129.449997,132.425003,128.800003,132.100006,132.100006,13339
2015-12-02,131.250000,131.550003,129.100006,129.100006,129.100006,13663
2015-12-03,127.750000,127.750000,124.599998,125.699997,125.699997,22291
2015-12-04,125.900002,126.449997,123.875000,124.275002,124.275002,14371
2015-12-06,null,null,null,null,null,null
2015-12-07,123.050003,123.250000,121.275002,121.625000,121.625000,14352
2015-12-08,121.300003,123.324997,120.550003,122.250000,122.250000,6392
2015-12-09,121.250000,121.875000,119.250000,119.849998,119.849998,5413
2015-12-10,119.699997,122.349998,118.099998,121.550003,121.550003,4484
2015-12-11,121.099998,122.875000,120.300003,121.449997,121.449997,2785
2015-12-13,null,null,null,null,null,null
2015-12-14,120.650002,121.449997,118.550003,119.525002,119.525002,2114
2015-12-15,119.750000,121.875000,118.300003,120.300003,120.300003,2617
2015-12-16,120.199997,120.224998,119.099998,119.974998,119.974998,2011
2015-12-17,119.050003,119.449997,116.974998,117.150002,117.150002,2885
2015-12-18,119.050003,120.150002,119.050003,120.150002,120.150002,1077
2015-12-20,null,null,null,null,null,null
2015-12-21,122.175003,124.650002,122.175003,123.400002,123.400002,1603
2015-12-22,123.000000,126.800003,122.224998,125.599998,125.599998,1827
2015-12-23,126.574997,128.600006,126.550003,128.600006,128.600006,1384
2015-12-24,129.675003,131.199997,127.974998,131.100006,131.100006,686
2015-12-27,null,null,null,null,null,null
2015-12-28,131.000000,131.500000,129.800003,130.850006,130.850006,850
2015-12-29,130.199997,130.774994,129.250000,130.199997,130.199997,493
2015-12-30,131.000000,135.000000,130.625000,133.000000,133.000000,201
2015-12-31,135.675003,135.800003,135.675003,135.800003,135.800003,11197
2016-01-03,null,null,null,null,null,null
2016-01-04,135.574997,137.649994,134.500000,136.425003,136.425003,22831
2016-01-05,136.875000,137.699997,136.149994,136.774994,136.774994,19976
2016-01-06,136.425003,136.975006,135.449997,136.524994,136.524994,19543
2016-01-07,135.449997,136.000000,133.524994,133.524994,133.524994,23497
2016-01-08,133.500000,134.850006,132.350006,132.875000,132.875000,34567
2016-01-10,null,null,null,null,null,null
2016-01-11,132.100006,133.300003,131.625000,132.225006,132.225006,26877
2016-01-12,132.600006,133.524994,131.024994,131.600006,131.600006,25890
2016-01-13,132.250000,133.175003,131.225006,132.100006,132.100006,31084
2016-01-14,131.675003,132.425003,129.800003,130.550003,130.550003,33154
2016-01-15,129.399994,129.425003,127.550003,127.550003,127.550003,17854
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,128.250000,129.975006,127.900002,129.300003,129.300003,18681
2016-01-20,128.199997,128.774994,126.300003,127.250000,127.250000,15264
2016-01-21,128.449997,130.250000,128.199997,130.250000,130.250000,16184
2016-01-22,130.600006,133.149994,130.300003,132.074997,132.074997,14198
2016-01-24,null,null,null,null,null,null
2016-01-25,133.100006,133.125000,131.050003,131.425003,131.425003,12797
2016-01-26,131.550003,133.350006,131.500000,133.024994,133.024994,12500
2016-01-27,132.925003,135.925003,132.925003,135.725006,135.725006,16455
2016-01-28,135.500000,136.100006,135.074997,135.425003,135.425003,10711
2016-01-29,136.074997,136.949997,133.850006,135.300003,135.300003,15829
2016-01-31,null,null,null,null,null,null
2016-02-01,135.800003,136.225006,134.300003,135.675003,135.675003,10944
2016-02-02,135.500000,136.225006,135.175003,135.725006,135.725006,7010
2016-02-03,135.850006,137.399994,135.800003,136.850006,136.850006,10870
2016-02-04,136.875000,137.824997,136.550003,137.074997,137.074997,9069
2016-02-05,137.000000,137.100006,135.625000,136.050003,136.050003,12841
2016-02-07,null,null,null,null,null,null
2016-02-08,134.824997,134.824997,133.050003,133.050003,133.050003,6272
2016-02-09,130.800003,132.699997,130.750000,131.399994,131.399994,5835
2016-02-10,132.300003,133.899994,131.800003,132.475006,132.475006,2645
2016-02-11,131.975006,131.975006,129.475006,130.125000,130.125000,4613
2016-02-12,130.550003,131.600006,129.375000,129.949997,129.949997,1409
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,130.375000,132.949997,129.649994,132.949997,132.949997,2254
2016-02-17,133.350006,134.899994,133.250000,134.100006,134.100006,1711
2016-02-18,134.250000,135.475006,133.600006,135.149994,135.149994,2368
2016-02-19,134.875000,135.949997,134.550003,135.375000,135.375000,1719
2016-02-21,null,null,null,null,null,null
2016-02-22,135.800003,137.074997,135.449997,136.425003,136.425003,2253
2016-02-23,136.324997,137.274994,135.850006,136.949997,136.949997,1640
2016-02-24,136.449997,137.524994,136.074997,136.975006,136.975006,1530
2016-02-25,137.000000,138.274994,136.774994,137.875000,137.875000,851
2016-02-26,138.274994,139.050003,137.199997,137.550003,137.550003,739
2016-02-28,null,null,null,null,null,null
2016-02-29,138.050003,139.949997,137.600006,139.500000,139.500000,17546
2016-03-01,136.649994,137.475006,135.925003,137.100006,137.100006,18668
