Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,137.453003,137.593994,136.438004,136.656006,136.656006,4416
2016-01-12,136.531006,137.561996,136.156006,137.328003,137.328003,10278
2016-01-13,137.156006,138.046997,136.781006,137.766006,137.766006,21411
2016-01-14,137.516006,138.016006,137.108994,137.406006,137.406006,24863
2016-01-15,137.483994,138.750000,137.375000,138.218994,138.218994,28959
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,138.250000,138.375000,137.593994,138.171997,138.171997,19459
2016-01-20,137.983994,139.343994,137.938004,138.811996,138.811996,26806
2016-01-21,138.718994,139.141006,138.218994,138.421997,138.421997,30798
2016-01-22,138.281006,138.531006,137.641006,138.093994,138.093994,25163
2016-01-24,null,null,null,null,null,null
2016-01-25,138.000000,138.641006,137.891006,138.421997,138.421997,17497
2016-01-26,138.641006,139.171997,138.391006,138.781006,138.781006,24200
2016-01-27,138.781006,138.968994,138.141006,138.750000,138.750000,33200
2016-01-28,138.796997,139.093994,138.311996,138.953003,138.953003,25785
2016-01-29,139.000000,139.858994,138.891006,139.593994,139.593994,29276
2016-01-31,null,null,null,null,null,null
2016-02-01,139.641006,139.921997,139.171997,139.203003,139.203003,14846
2016-02-02,139.375000,140.671997,139.358994,140.483994,140.483994,24320
2016-02-03,140.671997,141.343994,140.093994,140.296997,140.296997,32250
2016-02-04,140.250000,140.766006,139.968994,140.516006,140.516006,31016
2016-02-05,140.733994,141.046997,140.171997,140.733994,140.733994,30903
2016-02-07,null,null,null,null,null,null
2016-02-08,140.766006,142.156006,140.500000,142.156006,142.156006,32950
2016-02-09,142.000000,142.781006,141.733994,142.203003,142.203003,42229
2016-02-10,142.171997,142.921997,141.688004,142.500000,142.500000,44610
2016-02-11,142.921997,144.688004,142.796997,143.266006,143.266006,69058
2016-02-12,143.046997,143.266006,141.811996,141.938004,141.938004,43584
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,141.811996,142.016006,141.266006,141.608994,141.608994,31045
2016-02-17,141.671997,142.031006,140.688004,141.046997,141.046997,37399
2016-02-18,141.046997,142.016006,140.891006,141.750000,141.750000,26323
2016-02-19,142.000000,142.250000,141.438004,141.875000,141.875000,35672
2016-02-21,null,null,null,null,null,null
2016-02-22,141.828003,141.938004,141.468994,141.210007,141.210007,20191
2016-02-23,141.953003,142.281006,141.061996,141.906006,141.906006,39043
2016-02-24,142.218994,143.125000,141.811996,141.983994,141.983994,54468
2016-02-25,141.891006,142.750000,141.750000,142.516006,142.516006,47753
